nombre;recorrido;parada;atractivos
Diagonal Norte;Azul;0;Obelisco / Catedral Metropolitana / Casa Rosada / Museo del Bicentenario / Galería Güemes / Cabildo de Buenos Aires
Avenida de Mayo;Azul;1;Casa Rosada / Museo del Bicentenario / Café Tortoni / Manzana de las Luces / Cabildo de Buenos Aires / Teatro Avenida
Plaza del Congreso;Azul;2;Congreso de la Nación Argentina / Palacio Barolo / Pasaje Rivarola / Hotel Castelar / Monumento a los Dos Congresos
Paseo de la Historieta;Azul;3;Escultura de Mafalda / Puente de la Mujer / Fragata Sarmiento / Basílica de San Francisco /  Plaza de Mayo
San Telmo;Azul;4;Plaza Dorrego / Iglesia San Pedro Telmo / Museo MAMBA / Museo MACBA / Mercado de San Telmo
Plaza Dorrego (MAMBA/MACBA);Azul;5;Plaza Dorrego / Iglesia San Pedro Telmo / Museo MAMBA / Museo MCABA / Mercado de San Telmo
Usina del Arte;Azul;6;Caminito / Museo Quinquela Martín / Museo del Cine / La Torre del Fantasma / Estadio Boca Juniors
La Bombonera (Estadio Boca Juniors);Azul;7;Caminito / Museo Quinquela Martín / Teatro de la Ribera / Puente Transbordador
La Boca - Caminito;Azul;8;Usina del Arte / Museo Quinquela Martín / Teatro de la Ribera / Puente Transbordador / Estadio Boca Juniors
Costanera Sur;Azul;9;Paseo de la Gloria / Monumento al Tango / Puente de la Mujer / Fragata Sarmiento / Parque Micaela Bastidas
Puerto Madero;Azul;10;Puente de la Mujer / Buque Escuela Corbeta Uruguay / Museo del Humor / Centro Cultural Néstor Kirchner / Experiencias Náuticas
Río de la Plata (Experiencias náuticas);Azul;11;Reserva Ecológica / Colección de Arte Amalia Lacroze de Fortabat / Circuitos Gastronómicos Peatonales / Centro Cultural Néstor Kirchner / Galerías Pacífico
Galerías Pacífico (Calle Florida);Azul;12;Teatro Colón / Plaza San Martín / Galerías Pacífico / Palacio Paz - Círculo Militar / Iglesia Santa Catalina de Siena
Av 9 de Julio (conexión);Rojo;13;Peatonal Florida / Teatro Colón / Plaza San Martín / Galerías Pacífico / Museo de Arte Hispanoamericano Isaac Fernández Blanco
Plaza San Martín;Rojo;14;Basílica Del Santísimo Sacramento / Museo de la Inmigración y Museo de Arte Contemporáneo / Torre Monumental / Museo Nacional Ferroviario RaÃºl Scalabrini Ortiz / Palacio San Martín
Floralis Genérica;Rojo;15;Museo Nacional de Bellas Artes / Biblioteca Nacional / Museo Malba / Museo Nacional de Arte Decorativo / Cementerio de la Recoleta
Malba (conexión);Rojo;16;Jardín Japonés / Museo de Arte Popular J. Hernández / Ecoparque Interactivo / Planetario / Parque Tres de Febrero / Rosedal
Plaza Italia;Rojo;17;Museo Evita / Jardín Japonés / Jardín Botánico Carlos Thays / Rosedal / Ecoparque Interactivo
Palermo 1;Rojo;18;Plazoleta Julio Cortázar (Ex Plaza Serrano) / Jardín Botánico Carlos Thays / Plaza Italia / Ecoparque Interactivo / Pasajes porteños
Distrito Arcos 1;Rojo;19;Distrito Arcos / Centro Cultural de la Ciencia / La Rural / Ecoparque Interactivo / Rosedal
Bosques de Palermo - Rosedal (conexión);Rojo;20;Mezquita Centro Cultural Islámico Rey Fahd / Campo de Polo / Hipódromo Argentino / Rosedal / Planetario Galileo Galilei
Monumento a los españoles;Rojo;21;Jardín Botánico Carlos Thays / Museo Evita / Jardín Japonés / Rosedal / Sociedad Rural Argentina
Museo Nacional de Bellas Artes;Rojo;22;Floralis Genérica / Biblioteca Nacional / Basílica Nuestra Señora del Pilar / Centro Cultural Recoleta / Cementerio de la Recoleta
